GHNHolderAddress	Quantity	PendingBalanceUpdate	AHCHolderAddress	Quantity	PendingBalanceUpdate	BAYCHolderAddress	Quantity	PendingBalanceUpdate	MAYCHolderAddress	Quantity	PendingBalanceUpdate	MGHNHolderAddress	Quantity	PendingBalanceUpdate	AKCBHolderAddress	Quantity	PendingBalanceUpdate	ThePlagueHolderAddress	Quantity	PendingBalanceUpdate
0xa2f435f289d023f8289c2277033da5a11bd326d8	166	No	0x000000000000000000000000000000000000dead	4017	No	0xdb5485c85bd95f38f9def0ca85499ef67dc581c0	363	No	0xfa51cdc70c512c13ef1e4a3dbf1e99082b242896	729	No	0xf46dbd0155b719bc637ca83b4325a1c1eaeb1dd4	94	No	0x263f8b4a146e85d8fd2bb42be7fac5aab0ba3b7f	1106	No	0x000000000000000000000000000000000000dead	275	No
0xab7366058f5fcadf64d3a700f12e57429f273502	148	No	0xf46dbd0155b719bc637ca83b4325a1c1eaeb1dd4	217	No	0xaaa2da255df9ee74c7075bcb6d81f97940908a5d	258	No	0xaaa2da255df9ee74c7075bcb6d81f97940908a5d	427	No	0xf37832b43ad81d74b266d6935f394ec8037ec254	77	No	0x0930fdcd5b133be1c2bf129f230cce844e5d6308	274	No	0xf85573067d21dd8ab5d2bae2399627e27fc88547	230	No
0xf37832b43ad81d74b266d6935f394ec8037ec254	70	No	0x3a55478adafce637a9eb4fdf5027f283ed4233fe	142	No	0xe2a83b15fc300d8457eb9e176f98d92a8ff40a49	220	No	0x29469395eaf6f95920e59f858042f0e28d98a20b	291	Yes	0xa183ae4699c19f5068c7f22a50b0d2cc6968f55f	61	No	0x1ad57b608959dc956acc8c0a432fcd528fce3f28	205	No	0xb000c68accbf2b7ed5fd040075ea0cda6db1e966	136	No
0xde80fbab6db797fcd35815b8dbc58fe4049df3af	66	No	0xa91913e4417b2a78cc6fc5876b290b76a8d0d05b	119	No	0xdbfd76af2157dc15ee4e57f3f942bb45ba84af24	157	No	0xe2a83b15fc300d8457eb9e176f98d92a8ff40a49	284	No	0xa91913e4417b2a78cc6fc5876b290b76a8d0d05b	60	No	0x373aa2c91a85cb964272ff3f3d25d45da289db5f	94	No	0x37597eea4c2d5d6533acf7141f1a47d4d3b19f05	125	No
0x8ac20a0c0de02d30837a75a7d50826125f1a7e46	47	No	0xea69cd4e818ffaf812fe31fdb9699470fca7cc40	87	No	0x29469395eaf6f95920e59f858042f0e28d98a20b	156	No	0x69f37e419bd1457d2a25ed3f5d418169caae8d1f	247	No	0xc82d8367f481c6c8bdfd6f6f073e47125fa28fb0	46	No	0xdc04a684e7b204969920f5af76df6c4419e928e5	77	No	0xff42d190436859d828bbe8b4869625efeddc9358	100	No
0x5d844d7dee840d08fb1feb4c3590e0d05b0b1916	47	No	0x8ac20a0c0de02d30837a75a7d50826125f1a7e46	86	No	0xfaf5137f19f0f30aece41e08f77ea274490f0386	126	No	0x50d9090d6ce6307b7ec8904cd3dca17b4da56353	162	No	0x376faa1c6777c1ab8543bd4e8c7539a3ce434ea9	44	No	0x43d3dc913396dcfb3fc1a72cc3ef35c3224620d4	77	No	0x7233581a7380acd4510dc5ffbdf9bbba348da1cd	95	No
0x7484c6158ca424b836ba65c8a97c71be639b1d6d	45	No	0xc82d8367f481c6c8bdfd6f6f073e47125fa28fb0	68	No	0x020ca66c30bec2c4fe3861a94e4db4a498a35872	125	No	0xf090eb4c2b63e7b26e8bb09e6fc0cc3a7586263b	114	No	0xa2f435f289d023f8289c2277033da5a11bd326d8	43	No	0x9ec841797250eb0e3ba58c0e9b719211bfc59ee3	54	No	0xca964f48002551385b2ecc92effcc591e1648979	90	No
0x3a55478adafce637a9eb4fdf5027f283ed4233fe	37	No	0x37e57e5f8279f367fb8ff48faf5a5a87fbc37fe4	63	No	0x7285e8f0186a0a41e73cef7603ad7b80a2d5a793	115	No	0xfaf5137f19f0f30aece41e08f77ea274490f0386	85	No	0x1367066fae11612029df0abd66b2c6e5f30a21ef	39	No	0xf9c5c67a05638c35cd9bd2d9bd90cc9d64a0b0be	53	No	0x5b049c3bef543a181a720dcc6febc9afdab5d377	85	No
0xfce8d086b0b64ce88f71ce51fe1d929d83c049ef	31	No	0x975603ae72f9551d26ceb27a00cd4452f8187768	62	No	0x08c1ae7e46d4a13b766566033b5c47c735e19f6f	86	No	0x020ca66c30bec2c4fe3861a94e4db4a498a35872	77	No	0xedc789e74fccc7374c734a4e8716b9ed701a99dd	38	No	0x5a3dfbc817b1f33724084e1198ef294847bdedb1	51	No	0x23819f5596942e3098e1f924445eabcc79f7a40b	83	No
0x5dca2d80a15ee577dd7b4ae607ba6425ba8d1ae4	29	No	0xc37be17ca0405efce114e60105964c86e16f6567	54	No	0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76	77	No	0x35ff42fc4a02e0e6789912f30b2415607099a535	59	No	0x7484c6158ca424b836ba65c8a97c71be639b1d6d	37	No	0xb81416c8a03aea2413f4675ddbacd38ef527daa9	47	No	0xe45438f9286795b76aa932b920f7da6cc34db89c	65	No
